,arm_name,metric_name,mean,sem,trial_index,n,frac_nonnull,rep,runner
20,16_0,objective,104.91450977679375,1.0,16,10000,104.91450977679375,1,"GP, online only"
21,17_0,objective,108.80448334880256,1.0,17,10000,108.80448334880256,1,"GP, online only"
22,18_0,objective,106.23179416315068,1.0,18,10000,106.23179416315068,1,"GP, online only"
23,19_0,objective,106.22639940483491,1.0,19,10000,106.22639940483491,1,"GP, online only"
24,20_0,objective,109.26443547656275,1.0,20,10000,109.26443547656275,1,"GP, online only"
0,0_0,objective,21.82455020259582,1.0,0,2000,21.82455020259582,2,"GP, online only"
1,0_1,objective,39.233579827833736,1.0,0,2000,39.233579827833736,2,"GP, online only"
2,0_2,objective,32.855321221041464,1.0,0,2000,32.855321221041464,2,"GP, online only"
3,0_3,objective,34.554882820555726,1.0,0,2000,34.554882820555726,2,"GP, online only"
4,0_4,objective,108.36334272195701,1.0,0,2000,108.36334272195701,2,"GP, online only"
5,1_0,objective,80.3973378833451,1.0,1,10000,80.3973378833451,2,"GP, online only"
6,2_0,objective,109.06103790019814,1.0,2,10000,109.06103790019814,2,"GP, online only"
7,3_0,objective,112.8955425697449,1.0,3,10000,112.8955425697449,2,"GP, online only"
8,4_0,objective,115.07417841060756,1.0,4,10000,115.07417841060756,2,"GP, online only"
9,5_0,objective,106.29011165922479,1.0,5,10000,106.29011165922479,2,"GP, online only"
10,6_0,objective,104.53814065703644,1.0,6,10000,104.53814065703644,2,"GP, online only"
11,7_0,objective,113.14378983914922,1.0,7,10000,113.14378983914922,2,"GP, online only"
12,8_0,objective,111.16843665721626,1.0,8,10000,111.16843665721626,2,"GP, online only"
13,9_0,objective,114.10948832827634,1.0,9,10000,114.10948832827634,2,"GP, online only"
14,10_0,objective,109.76841910131502,1.0,10,10000,109.76841910131502,2,"GP, online only"
15,11_0,objective,115.80002047030506,1.0,11,10000,115.80002047030506,2,"GP, online only"
16,12_0,objective,104.0430749144225,1.0,12,10000,104.0430749144225,2,"GP, online only"
17,13_0,objective,114.5899622256316,1.0,13,10000,114.5899622256316,2,"GP, online only"
18,14_0,objective,113.52538625320308,1.0,14,10000,113.52538625320308,2,"GP, online only"
19,15_0,objective,114.66101642853994,1.0,15,10000,114.66101642853994,2,"GP, online only"
20,16_0,objective,116.24014155507992,1.0,16,10000,116.24014155507992,2,"GP, online only"
21,17_0,objective,112.40682461648335,1.0,17,10000,112.40682461648335,2,"GP, online only"
22,18_0,objective,118.8398854420406,1.0,18,10000,118.8398854420406,2,"GP, online only"
23,19_0,objective,116.12338970692213,1.0,19,10000,116.12338970692213,2,"GP, online only"
24,20_0,objective,111.61425516437762,1.0,20,10000,111.61425516437762,2,"GP, online only"
0,0_0,objective,41.08030094667823,1.0,0,2000,41.08030094667823,3,"GP, online only"
1,0_1,objective,24.28751710627676,1.0,0,2000,24.28751710627676,3,"GP, online only"
2,0_2,objective,54.34100139834161,1.0,0,2000,54.34100139834161,3,"GP, online only"
3,0_3,objective,26.931248656596686,1.0,0,2000,26.931248656596686,3,"GP, online only"
4,0_4,objective,90.18651751031851,1.0,0,2000,90.18651751031851,3,"GP, online only"
5,1_0,objective,92.74915940760268,1.0,1,10000,92.74915940760268,3,"GP, online only"
