,arm_name,metric_name,mean,sem,trial_index,n,frac_nonnull,rep,runner
84,20_2,objective,60.74289794703717,1.0,21,10000,60.74289794703717,0,MTGP
85,22_0,offline_objective,51.61903206685295,1.0,22,2500,51.61903206685295,0,MTGP
86,22_1,offline_objective,59.323789951848205,1.0,22,2500,59.323789951848205,0,MTGP
87,22_2,offline_objective,39.3016357420239,1.0,22,2500,39.3016357420239,0,MTGP
88,22_3,offline_objective,52.30548298994684,1.0,22,2500,52.30548298994684,0,MTGP
89,22_2,objective,61.725046499768624,1.0,23,10000,61.725046499768624,0,MTGP
90,24_0,offline_objective,55.70848386933581,1.0,24,2500,55.70848386933581,0,MTGP
91,24_1,offline_objective,54.69449977853154,1.0,24,2500,54.69449977853154,0,MTGP
92,24_2,offline_objective,46.94623581237044,1.0,24,2500,46.94623581237044,0,MTGP
93,24_3,offline_objective,52.130036073848444,1.0,24,2500,52.130036073848444,0,MTGP
94,24_1,objective,50.64767816481496,1.0,25,10000,50.64767816481496,0,MTGP
95,26_0,offline_objective,50.728214911820075,1.0,26,2500,50.728214911820075,0,MTGP
96,26_1,offline_objective,45.750171298859,1.0,26,2500,45.750171298859,0,MTGP
97,26_2,offline_objective,50.82209134564288,1.0,26,2500,50.82209134564288,0,MTGP
98,26_3,offline_objective,53.76371094173228,1.0,26,2500,53.76371094173228,0,MTGP
99,26_1,objective,61.733590633872865,1.0,27,10000,61.733590633872865,0,MTGP
100,28_0,offline_objective,45.809206422456384,1.0,28,2500,45.809206422456384,0,MTGP
101,28_1,offline_objective,54.9103762652715,1.0,28,2500,54.9103762652715,0,MTGP
102,28_2,offline_objective,50.65856663474541,1.0,28,2500,50.65856663474541,0,MTGP
103,28_3,offline_objective,47.53546268146772,1.0,28,2500,47.53546268146772,0,MTGP
104,28_3,objective,50.560827868376265,1.0,29,10000,50.560827868376265,0,MTGP
105,30_0,offline_objective,43.592548566721376,1.0,30,2500,43.592548566721376,0,MTGP
106,30_1,offline_objective,51.252060734935824,1.0,30,2500,51.252060734935824,0,MTGP
107,30_2,offline_objective,50.715819215659266,1.0,30,2500,50.715819215659266,0,MTGP
108,30_3,offline_objective,53.80990171168846,1.0,30,2500,53.80990171168846,0,MTGP
109,30_2,objective,59.002419541831046,1.0,31,10000,59.002419541831046,0,MTGP
110,32_0,offline_objective,48.288185063915016,1.0,32,2500,48.288185063915016,0,MTGP
111,32_1,offline_objective,49.966404775660806,1.0,32,2500,49.966404775660806,0,MTGP
112,32_2,offline_objective,52.540447471848616,1.0,32,2500,52.540447471848616,0,MTGP
113,32_3,offline_objective,53.304757855631294,1.0,32,2500,53.304757855631294,0,MTGP
114,32_3,objective,48.941183028629936,1.0,33,10000,48.941183028629936,0,MTGP
115,34_0,offline_objective,54.532502679467406,1.0,34,2500,54.532502679467406,0,MTGP
116,34_1,offline_objective,50.74878427935195,1.0,34,2500,50.74878427935195,0,MTGP
117,34_2,offline_objective,50.38155860871538,1.0,34,2500,50.38155860871538,0,MTGP
118,34_3,offline_objective,57.47624047979981,1.0,34,2500,57.47624047979981,0,MTGP
119,34_3,objective,58.50771224148364,1.0,35,10000,58.50771224148364,0,MTGP
120,36_0,offline_objective,46.234244510764356,1.0,36,2500,46.234244510764356,0,MTGP
121,36_1,offline_objective,47.531434706051705,1.0,36,2500,47.531434706051705,0,MTGP
122,36_2,offline_objective,53.774188118733655,1.0,36,2500,53.774188118733655,0,MTGP
123,36_3,offline_objective,45.068981098415975,1.0,36,2500,45.068981098415975,0,MTGP
124,36_3,objective,60.297305067249944,1.0,37,10000,60.297305067249944,0,MTGP
125,38_0,offline_objective,45.00174389073075,1.0,38,2500,45.00174389073075,0,MTGP
126,38_1,offline_objective,56.08257316253455,1.0,38,2500,56.08257316253455,0,MTGP
127,38_2,offline_objective,56.1604947420227,1.0,38,2500,56.1604947420227,0,MTGP
128,38_3,offline_objective,50.71895036424919,1.0,38,2500,50.71895036424919,0,MTGP
129,38_0,objective,60.80169027560485,1.0,39,10000,60.80169027560485,0,MTGP
130,40_0,offline_objective,50.041528990606395,1.0,40,2500,50.041528990606395,0,MTGP
131,40_1,offline_objective,46.44289581387453,1.0,40,2500,46.44289581387453,0,MTGP
132,40_2,offline_objective,56.489853730493074,1.0,40,2500,56.489853730493074,0,MTGP
133,40_3,offline_objective,57.284639475072474,1.0,40,2500,57.284639475072474,0,MTGP
134,40_2,objective,57.79604887295823,1.0,41,10000,57.79604887295823,0,MTGP
0,0_0,objective,40.959691099591474,1.0,0,2000,40.959691099591474,1,MTGP
1,0_1,objective,57.833652821766925,1.0,0,2000,57.833652821766925,1,MTGP
2,0_2,objective,68.14058358384926,1.0,0,2000,68.14058358384926,1,MTGP
3,0_3,objective,51.24647916556693,1.0,0,2000,51.24647916556693,1,MTGP
4,0_4,objective,48.789879833922114,1.0,0,2000,48.789879833922114,1,MTGP
5,1_0,offline_objective,39.573048023141624,1.0,1,333,39.573048023141624,1,MTGP
6,1_1,offline_objective,53.905970776757194,1.0,1,333,53.905970776757194,1,MTGP
